company,market_type,symbol,bse_code,bse_id
I C I C I Prudential Asset Mgmt. Co. Ltd.,Mid Cap,ICICIAMC,544658,ICICIAMC
I C I C I Prudential Life Insurance Co. Ltd.,Mid Cap,ICICIPRULI,540133,ICICIPRULI
I D B I Bank Ltd.,Small Cap,IDBI,500116,IDBI
I D F C First Bank Ltd.,Mid Cap,IDFCFIRSTB,539437,IDFCFIRSTB
I F B Industries Ltd.,Micro Cap,IFBIND,505726,IFBIND
I F C I Ltd.,Small Cap,IFCI,500106,IFCI
I I F L Capital Services Ltd.,Micro Cap,IIFLCAPS,542773,IIFLCAPS
I I F L Finance Ltd.,Small Cap,IIFL,532636,IIFL
I R B Infrastructure Developers Ltd.,Small Cap,IRB,532947,IRB
I T C Hotels Ltd.,Mid Cap,ITCHOTELS,544325,ITCHOTELS
I T C Ltd.,Large Cap,ITC,500875,ITC
I T I Ltd.,Small Cap,ITI,523610,ITI
Indegene Ltd.,Small Cap,INDGN,544172,INDGN
India Cements Ltd.,Small Cap,INDIACEM,530005,INDIACEM
India Glycols Ltd.,Micro Cap,INDIAGLYCO,500201,INDIAGLYCO
India Shelter Finance Corpn. Ltd.,Micro Cap,INDIASHLTR,544044,INDIASHLTR
Indiamart Intermesh Ltd.,Small Cap,INDIAMART,542726,INDIAMART
Indian Bank,Mid Cap,INDIANB,532814,INDIANB
Indian Energy Exchange Ltd.,Small Cap,IEX,540750,IEX
Indian Hotels Co. Ltd.,Large Cap,INDHOTEL,500850,INDHOTEL
Indian Metals & Ferro Alloys Ltd.,Micro Cap,IMFA,533047,IMFA
Indian Oil Corpn. Ltd.,Large Cap,IOC,530965,IOC
Indian Overseas Bank,Small Cap,IOB,532388,IOB
Indian Railway Catering & Tourism Corpn. Ltd.,Mid Cap,IRCTC,542830,IRCTC
Indian Railway Finance Corpn. Ltd.,Large Cap,IRFC,543257,IRFC
Indian Renewable Energy Devp. Agency Ltd.,Mid Cap,IREDA,544026,IREDA
Indigo Paints Ltd.,Micro Cap,INDIGOPNTS,543258,INDIGOPNTS
Indo Count Inds. Ltd.,Micro Cap,ICIL,521016,ICIL
Indraprastha Gas Ltd.,Small Cap,IGL,532514,IGL
Indus Towers Ltd.,Mid Cap,INDUSTOWER,534816,INDUSTOWER
Indusind Bank Ltd.,Mid Cap,INDUSINDBK,532187,INDUSINDBK
Info Edge (India) Ltd.,Mid Cap,NAUKRI,532777,NAUKRI
Infosys Ltd.,Large Cap,INFY,500209,INFY
Inox Green Energy Services Ltd.,Micro Cap,INOXGREEN,543667,INOXGREEN
Inox India Ltd.,Micro Cap,INOXINDIA,544046,INOXINDIA
Inox Wind Ltd.,Small Cap,INOXWIND,539083,INOXWIND
Intellect Design Arena Ltd.,Small Cap,INTELLECT,538835,INTELLECT
Interglobe Aviation Ltd.,Large Cap,INDIGO,539448,INDIGO
International Gemological Institute Ltd.,Small Cap,IGIL,544311,IGIL
Inventurus Knowledge Solutions Ltd.,Small Cap,IKS,544309,IKS
