symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
ABCAPITAL,Jun 2024,61,38,0.14,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Sep 2024,4158,1032,3.96,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Dec 2024,3792,613,2.35,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Mar 2025,3853,654,2.51,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Jun 2025,4010,676,2.59,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Sep 2025,4507,916,3.51,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Dec 2025,4384,740,2.83,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Mar 2026,4572,777,2.97,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Jun 2026,4990,893,3.27,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABDL,Jun 2023,814,-2,-0.08,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Sep 2023,851,12,0.48,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Dec 2023,895,-4,-0.15,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Mar 2024,768,1,0.02,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Jun 2024,758,12,0.44,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Sep 2024,868,48,1.73,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Dec 2024,974,58,2.09,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Mar 2025,921,81,2.90,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Jun 2025,919,61,2.18,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
